,title,address,price,area
0,Nhà mặt tiền quận 5 gần Đại Học Y Dược,"  Đ. Ký Hòa, P.11, Q.5 ",38 tỷ,178.0 m2
1,"CC La Casa Bán căn hộ 2 phòng ngủ - đầy đủ tiện ích, full nội thất - Quận 7","  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,85 tỷ",92.0 m2
2,River Panorama Bán Căn Góc Dual- key 3PN 2WC - View Công Viên Nội Khu Tầng Cao - Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","4,2 tỷ",113.9 m2
3,"Bán Chung Cư Căn Góc Viva Riverside P3 Q6 - Tầng 15, 89m2, 3pn 2wc","  Đ. Võ Văn Kiệt, P.3, Q.6 ","3,88 tỷ",89.0 m2
4,"Bán căn Shophouse, có nội thất, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ",12 tỷ,65.3 m2
5,"Bán căn góc, 3 phòng ngủ, nội thất đẹp, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","5,3 tỷ",89.9 m2
6,Căn góc 3 phòng ngủ Central 1 Vinhomes Central Park quận Bình Thạnh,"  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ",14 tỷ,153.6 m2
7,Bán căn hộ cao cấp 2PN sang trọng tại chung cư Cityland Park Hills - Quận Gò Vấp,"  Đ. Phan Văn Trị, P.10, Q.Gò Vấp ","3,7 tỷ",65.0 m2
8,"Cần bán căn Officetel thô, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","1,7 tỷ",33.6 m2
9,An Gia Riverside Bán Căn Hộ  2 Phòng Ngủ 1WC Full Nội Thất Cao Cấp Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,35 tỷ",51.0 m2
10,"Bán căn hộ 3 phòng ngủ, chung cư Safira Khang Điền - Quận 9- Căn góc, full nội thất","  Đ. Võ Chí Công, P.Phú Hữu, Q.9 ","3,8 tỷ",85.7 m2
11,"Chính chủ bán căn hộ VINHOMES CENTRAL PARK, suất Người nước ngoài, tòa Landmark 81","  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ","14,7 tỷ",109.0 m2
12,Nhà mặt tiền quận 5 gần Đại Học Y Dược,"  Đ. Ký Hòa, P.11, Q.5 ",38 tỷ,178.0 m2
13,"CC La Casa Bán căn hộ 2 phòng ngủ - đầy đủ tiện ích, full nội thất - Quận 7","  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,85 tỷ",92.0 m2
14,River Panorama Bán Căn Góc Dual- key 3PN 2WC - View Công Viên Nội Khu Tầng Cao - Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","4,2 tỷ",113.9 m2
15,"Bán Chung Cư Căn Góc Viva Riverside P3 Q6 - Tầng 15, 89m2, 3pn 2wc","  Đ. Võ Văn Kiệt, P.3, Q.6 ","3,88 tỷ",89.0 m2
16,"Bán căn Shophouse, có nội thất, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ",12 tỷ,65.3 m2
17,"Bán căn góc, 3 phòng ngủ, nội thất đẹp, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","5,3 tỷ",89.9 m2
18,Căn góc 3 phòng ngủ Central 1 Vinhomes Central Park quận Bình Thạnh,"  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ",14 tỷ,153.6 m2
19,Bán căn hộ cao cấp 2PN sang trọng tại chung cư Cityland Park Hills - Quận Gò Vấp,"  Đ. Phan Văn Trị, P.10, Q.Gò Vấp ","3,7 tỷ",65.0 m2
20,"Cần bán căn Officetel thô, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","1,7 tỷ",33.6 m2
21,An Gia Riverside Bán Căn Hộ  2 Phòng Ngủ 1WC Full Nội Thất Cao Cấp Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,35 tỷ",51.0 m2
22,"Bán căn hộ 3 phòng ngủ, chung cư Safira Khang Điền - Quận 9- Căn góc, full nội thất","  Đ. Võ Chí Công, P.Phú Hữu, Q.9 ","3,8 tỷ",85.7 m2
23,"Chính chủ bán căn hộ VINHOMES CENTRAL PARK, suất Người nước ngoài, tòa Landmark 81","  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ","14,7 tỷ",109.0 m2
24,Nhà mặt tiền quận 5 gần Đại Học Y Dược,"  Đ. Ký Hòa, P.11, Q.5 ",38 tỷ,178.0 m2
25,"CC La Casa Bán căn hộ 2 phòng ngủ - đầy đủ tiện ích, full nội thất - Quận 7","  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,85 tỷ",92.0 m2
26,River Panorama Bán Căn Góc Dual- key 3PN 2WC - View Công Viên Nội Khu Tầng Cao - Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","4,2 tỷ",113.9 m2
27,"Bán Chung Cư Căn Góc Viva Riverside P3 Q6 - Tầng 15, 89m2, 3pn 2wc","  Đ. Võ Văn Kiệt, P.3, Q.6 ","3,88 tỷ",89.0 m2
28,"Bán căn Shophouse, có nội thất, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ",12 tỷ,65.3 m2
29,"Bán căn góc, 3 phòng ngủ, nội thất đẹp, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","5,3 tỷ",89.9 m2
30,Căn góc 3 phòng ngủ Central 1 Vinhomes Central Park quận Bình Thạnh,"  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ",14 tỷ,153.6 m2
31,Bán căn hộ cao cấp 2PN sang trọng tại chung cư Cityland Park Hills - Quận Gò Vấp,"  Đ. Phan Văn Trị, P.10, Q.Gò Vấp ","3,7 tỷ",65.0 m2
32,"Cần bán căn Officetel thô, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","1,7 tỷ",33.6 m2
33,An Gia Riverside Bán Căn Hộ  2 Phòng Ngủ 1WC Full Nội Thất Cao Cấp Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,35 tỷ",51.0 m2
34,"Bán căn hộ 3 phòng ngủ, chung cư Safira Khang Điền - Quận 9- Căn góc, full nội thất","  Đ. Võ Chí Công, P.Phú Hữu, Q.9 ","3,8 tỷ",85.7 m2
35,"Chính chủ bán căn hộ VINHOMES CENTRAL PARK, suất Người nước ngoài, tòa Landmark 81","  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ","14,7 tỷ",109.0 m2
36,Nhà mặt tiền quận 5 gần Đại Học Y Dược,"  Đ. Ký Hòa, P.11, Q.5 ",38 tỷ,178.0 m2
37,"CC La Casa Bán căn hộ 2 phòng ngủ - đầy đủ tiện ích, full nội thất - Quận 7","  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,85 tỷ",92.0 m2
38,River Panorama Bán Căn Góc Dual- key 3PN 2WC - View Công Viên Nội Khu Tầng Cao - Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","4,2 tỷ",113.9 m2
39,"Bán Chung Cư Căn Góc Viva Riverside P3 Q6 - Tầng 15, 89m2, 3pn 2wc","  Đ. Võ Văn Kiệt, P.3, Q.6 ","3,88 tỷ",89.0 m2
40,"Bán căn Shophouse, có nội thất, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ",12 tỷ,65.3 m2
41,"Bán căn góc, 3 phòng ngủ, nội thất đẹp, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","5,3 tỷ",89.9 m2
42,Căn góc 3 phòng ngủ Central 1 Vinhomes Central Park quận Bình Thạnh,"  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ",14 tỷ,153.6 m2
43,Bán căn hộ cao cấp 2PN sang trọng tại chung cư Cityland Park Hills - Quận Gò Vấp,"  Đ. Phan Văn Trị, P.10, Q.Gò Vấp ","3,7 tỷ",65.0 m2
44,"Cần bán căn Officetel thô, chung cư The Sun Avenue, phường An Phú, Quận 2.","  Đ. Mai Chí Thọ, P.An Phú, Q.2 ","1,7 tỷ",33.6 m2
45,An Gia Riverside Bán Căn Hộ  2 Phòng Ngủ 1WC Full Nội Thất Cao Cấp Phường Phú Thuận Quận 7,"  Đ. Hoàng Quốc Việt, P.Phú Thuận, Q.7 ","2,35 tỷ",51.0 m2
46,"Bán căn hộ 3 phòng ngủ, chung cư Safira Khang Điền - Quận 9- Căn góc, full nội thất","  Đ. Võ Chí Công, P.Phú Hữu, Q.9 ","3,8 tỷ",85.7 m2
47,"Chính chủ bán căn hộ VINHOMES CENTRAL PARK, suất Người nước ngoài, tòa Landmark 81","  Đ. Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh ","14,7 tỷ",109.0 m2
48,Nhà mặt tiền quận 5 gần Đại Học Y Dược,"  Đ. Ký Hòa, P.11, Q.5 ",38 tỷ,178.0 m2
